disease_id	DduftC	DgaG	D<soD	Dso>D
Q14375936	0	0	0	2
Q143790	0	0	0	1
Q1440436	0	0	0	2
Q1442621	0	0	0	1
Q1446169	2	0	6	1
Q14509067	0	0	2	1
Q1451877	0	0	3	1
Q1452604	0	0	1	1
Q1453590	0	0	0	1
Q1456383	0	0	0	1
Q1456403	0	0	0	2
Q1456558	0	0	0	1
Q145790	2	0	5	1
Q1459821	0	0	1	1
Q1459851	0	0	0	1
Q1462309	0	0	0	1
Q1464888	0	2	0	1
Q1469646	0	0	0	1
Q1470140	5	0	2	1
Q1470530	0	0	0	1
Q1471410	0	0	1	1
Q1472	20	32	5	1
Q147270	0	0	0	1
Q1472818	0	0	0	1
Q147362	0	0	2	1
Q1474877	6	0	3	1
Q1475667	0	0	1	1
Q1475743	0	0	4	1
Q1476027	0	0	0	1
Q1476361	0	0	0	1
Q1476525	0	9	13	1
Q1476789	0	0	0	1
Q1476965	0	0	0	1
Q1477	6	26	0	1
Q1477265	0	0	0	1
Q1477777	0	0	0	1
Q147778	5	2	2	1
Q1478321	0	0	2	1
Q1479494	0	0	0	1
Q1479497	1	1	0	3
Q1479681	0	0	8	1
Q1480377	0	0	2	1
Q1482034	0	0	0	1
Q1483214	4	0	2	1
Q1484058	0	0	0	2
Q1484679	0	0	0	1
Q1485	5	33	1	4
Q1485893	0	0	0	1
Q1486140	0	0	2	1
Q14870002	0	0	0	1
Q14917216	0	0	0	2
Q1493513	0	0	2	1
Q14942021	1	0	0	0
Q1495085	0	0	0	2
Q1495661	0	0	0	1
Q1495674	0	0	0	1
Q1496114	0	0	3	1
Q1499629	0	0	0	1
Q1500373	0	0	1	1
Q1501239	1	0	0	2
Q1502312	0	0	9	1
Q15043641	0	0	0	1
Q1504570	0	0	0	1
Q1504713	0	0	26	1
Q15051314	0	0	3	2
Q15051322	0	0	1	1
Q1505689	0	0	2	3
Q1506216	0	0	9	1
Q1507379	0	0	0	1
Q1507609	0	0	0	1
Q1509367	0	0	1	1
Q1511436	0	0	3	1
Q1515038	0	0	0	1
Q1515119	0	0	0	1
Q1515163	0	0	0	1
Q1516083	0	0	0	1
Q1516211	1	0	2	1
Q1516888	0	0	0	1
Q1518637	0	0	0	1
Q152100	0	0	1	0
Q1521567	0	0	0	1
Q1522871	0	0	0	1
Q1526459	2	0	0	2
Q15270307	0	0	1	2
Q1527711	0	0	0	2
Q1527888	1	0	2	1
Q1529258	0	0	1	2
Q1529650	0	0	0	2
Q1529983	0	1	0	1
Q1531319	0	0	0	1
Q1531320	0	0	0	1
Q1531322	0	0	2	1
Q1531324	0	0	0	1
Q1531326	0	0	0	1
Q1531328	0	0	0	1
Q1531329	0	0	0	1
Q1531331	0	0	0	1
Q1531333	0	0	0	1
Q1531335	0	0	0	1
Q1531337	0	0	0	1
Q1531338	0	0	0	1
Q1531482	0	0	0	1
Q1531991	1	0	1	1
Q1532338	0	0	0	1
Q1532790	0	0	0	1
Q153356	13	0	1	1
Q1535394	0	0	0	2
Q1536720	0	0	0	1
Q1538213	0	0	3	1
Q1538218	0	0	0	2
Q1538227	0	0	0	1
Q1538277	0	0	0	1
Q1538490	0	0	1	2
Q153861	1	0	6	1
Q1541975	0	0	1	1
Q1542410	2	0	0	2
Q1542466	0	0	0	1
Q1543446	0	0	10	2
Q15443105	0	0	0	2
Q1544408	0	0	0	1
Q1544416	0	0	3	1
Q1544884	0	0	0	1
Q1544989	0	0	0	1
Q1545572	0	0	0	1
Q1545750	0	0	3	1
Q15460254	1	0	0	1
Q154666	0	0	0	1
Q154709	0	0	4	1
Q1547640	0	0	5	1
Q154865	0	0	4	1
Q154869	1	10	0	2
Q154874	0	0	0	2
Q154878	4	0	1	1
Q154882	3	0	0	1
Q1549421	0	1	1	1
Q1549428	0	0	1	1
Q1550521	0	0	0	1
Q155098	0	0	0	3
Q1553850	0	0	2	2
Q1557239	0	0	8	1
Q1558317	0	0	0	1
Q155857	0	0	0	1
Q156050	1	0	4	1
Q156103	1	0	4	1
Q15630404	0	0	0	1
Q1563513	0	0	0	2
Q15646785	0	0	0	1
Q156590	0	0	0	2
Q15666414	0	0	0	1
Q1569573	0	0	0	1
Q1569702	0	0	0	1
Q1570013	0	0	3	1
Q1571398	0	0	0	1
Q15715457	0	0	2	1
Q1572384	0	6	4	1
Q15730674	0	0	0	1
Q15730829	0	0	0	1
Q15731494	0	0	0	2
Q1573307	1	0	0	1
Q15734066	0	0	3	1
Q1576205	1	0	0	3
Q157661	0	0	0	2
Q15802235	0	0	1	0
Q15812428	0	0	0	1
Q15812429	0	0	0	1
Q1581845	0	0	1	1
Q1583485	0	0	0	1
Q1584110	0	0	2	2
Q1585081	1	0	0	1
Q1585743	1	0	4	1
Q1585753	0	0	1	1
Q1586088	1	0	0	2
Q1587881	0	0	0	1
