hetnet	feature	nonzero	auroc	auprc	feature_type	permuted
wikidata-v0.1_perm-2	C<hpChp>CduftDso>D	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpChp>CduftDso>D	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpChp>CduftDso>D	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpChp>CduftDso>D	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpChp>Chp>CduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpChp>Chp>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpChp>Chp>CduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpChp>Chp>CduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpChp>Chp>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpChp>Chp>CduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpChp>Cio>CduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpChp>Cio>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpChp>Cio>CduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpChp>Cio>CduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpChp>Cio>CduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpChp>Cio>CduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpChp>CsdiCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpChp>CsdiCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpChp>CsdiCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpChp>CsdiCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpChp>CsdiCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpChp>CsdiCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpCio>C<hpCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpCio>C<hpCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpCio>C<hpCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpCio>C<hpCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpCio>C<hpCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpCio>C<hpCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpCio>C<ioCduftD	0	0.5	0.6	dwpc	0
wikidata-v0.1_perm-1	C<hpCio>C<ioCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-2	C<hpCio>C<ioCduftD	0	0.5	0.55069	dwpc	1
wikidata-v0.1_perm-3	C<hpCio>C<ioCduftD	0	0.5	0.55067	dwpc	1
wikidata-v0.1_perm-4	C<hpCio>C<ioCduftD	0	0.5	0.55066	dwpc	1
wikidata-v0.1_perm-5	C<hpCio>C<ioCduftD	0	0.5	0.55076	dwpc	1
wikidata-v0.1	C<hpCio>CduftD	0	0.5	0.6	dwpc	0
